,mean_test_dir_acc,mean_test_mape,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_neg_mse,split1_test_neg_mse,split2_test_neg_mse,split3_test_neg_mse,split4_test_neg_mse,mean_test_neg_mse,std_test_neg_mse,rank_test_neg_mse,split0_train_neg_mse,split1_train_neg_mse,split2_train_neg_mse,split3_train_neg_mse,split4_train_neg_mse,mean_train_neg_mse,std_train_neg_mse,split0_test_dir_acc,split1_test_dir_acc,split2_test_dir_acc,split3_test_dir_acc,split4_test_dir_acc,std_test_dir_acc,rank_test_dir_acc,split0_train_dir_acc,split1_train_dir_acc,split2_train_dir_acc,split3_train_dir_acc,split4_train_dir_acc,mean_train_dir_acc,std_train_dir_acc,split0_test_mape,split1_test_mape,split2_test_mape,split3_test_mape,split4_test_mape,mean_test_mape,std_test_mape,rank_test_mape,split0_train_mape,split1_train_mape,split2_train_mape,split3_train_mape,split4_train_mape,mean_train_mape,std_train_mape
159,0.5056953025345239,117.04339788200609,22.667313051223754,0.6762324500099298,0.022913694381713867,0.0013557583730120736,143,2,1,,19,True,"{'n_estimators': 143, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 19, 'bootstrap': True}",-5.91595466239632,-3.450646231449969,-7.283578627797628,-2.700944986322296,-4.7957129472747315,-4.829367491048188,1.6514243115136493,108,-2.7256441429045224,-2.9698604471357646,-1.937459947709941,-3.1378318714246265,-2.842367179867372,-2.7226327178084455,0.41577724235502456,0.47578947368421054,0.5068493150684932,0.5268703898840885,0.512118018967334,0.5068493150684932,0.01665327415086494,11,0.7070600632244468,0.7242559915722939,0.8253884645772979,0.7342638925467474,0.7239926257571767,0.7429922075355926,0.042115259819220756,114.32433238344322,106.3339017552127,128.8012464437076,112.09304439307495,123.66446443459193,117.04339788200609,8.107751220089673,474,99.71515991211928,97.60878968180924,88.95370948333728,99.17933395803314,98.09380290074252,96.71015918720829,3.9499714456209363
184,0.5048456547057845,110.11507523864483,2.9549760818481445,0.03750526800160549,0.01687626838684082,0.0008707760742909582,152,10,2,log2,10,False,"{'n_estimators': 152, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 10, 'bootstrap': False}",-5.817141031764351,-3.4192718023728665,-6.968034469054522,-2.675953896624309,-4.814541567850032,-4.738988553533217,1.5578530750164465,11,-3.5866102416806767,-4.210773580576086,-3.0730569274930684,-4.345549702607559,-3.873800706691079,-3.817958231809694,0.4569846575094926,0.5073684210526316,0.5142255005268704,0.49631190727081137,0.5131717597471022,0.4931506849315068,0.008640220438534678,12,0.5811380400421496,0.5923097181985778,0.6694759020279167,0.5780879641822492,0.597840400316039,0.6037704049533865,0.03363193823477997,107.4623138231887,102.67801517395799,119.83235916369983,112.90023916737215,107.70244886500552,110.11507523864483,5.836960108513486,499,99.31781670151445,99.22408063920174,99.0990466113002,102.10709552961457,101.07807005178185,100.16522190668256,1.2120014134509398
15,0.5046408962342632,200.85222610676706,1.8944448947906494,0.23624533212914417,0.0029815673828125,8.253989227696892e-05,9,2,4,auto,71,True,"{'n_estimators': 9, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 71, 'bootstrap': True}",-6.517100823219489,-3.849247572481367,-7.641610990016475,-2.8456147265718896,-5.1464795495007065,-5.200010732357986,1.7359000765783184,308,-1.6024210944898531,-1.8309822772140825,-1.5168631670322457,-1.974389663883776,-1.7736893968690515,-1.7396691198978018,0.16313719307628735,0.4789473684210526,0.5036880927291886,0.5142255005268704,0.5173867228661749,0.5089567966280295,0.013667574314361972,13,0.8387776606954689,0.8359230971819858,0.8380300237029233,0.8427706083750329,0.8385567553331578,0.8388116290577138,0.002222348083797735,167.63718447839767,173.87734462509573,185.01619445461094,283.7039863630009,194.02642061273002,200.85222610676706,42.40912382497779,172,128.3171768871249,122.7888957492277,125.01084661317847,111.70261596814906,113.83409061180654,120.33072516589735,6.455696388945583
453,0.5046369031113083,138.91174534515173,3.221080780029297,0.24577468394396054,0.02924346923828125,0.0008187303726377143,88,2,1,log2,81,True,"{'n_estimators': 88, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 81, 'bootstrap': True}",-5.967283368988945,-3.4292834361940754,-6.977825640616871,-2.709377381466053,-4.757333586966507,-4.76822068284649,1.5717386941646216,43,-0.6436987540654475,-0.7378119571814716,-0.6041238743260451,-0.779338362800311,-0.6842244218451623,-0.6898394740436875,0.06295882640795183,0.4978947368421053,0.5363540569020021,0.512118018967334,0.48261327713382507,0.49420442571127504,0.01844602087678348,14,0.9420442571127503,0.9344219120358177,0.9441664471951541,0.9386357650776929,0.9423228864893337,0.9403182535821497,0.0034468491861991486,127.04961596759581,126.559658343479,142.80764756843357,158.0015837754412,140.14022107080913,138.91174534515173,11.613727263055782,312,58.942323019681474,60.605706726828586,55.825922208315504,56.010177154724815,62.84971812105259,58.8467694461206,2.6943779541402537
257,0.5044232710332205,158.2533546082444,9.285218334197998,0.9053066911728751,0.010346794128417968,0.00040160046983268486,35,5,1,,,True,"{'n_estimators': 35, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': None, 'bootstrap': True}",-6.21508879918807,-3.540223720622752,-7.448010712963654,-2.8853700313478354,-5.073082519204009,-5.032355156665264,1.6776120352841115,297,-0.9262483886425013,-1.0391996454653851,-0.809456983942902,-1.0649717207690763,-0.9648552569172297,-0.960946399147419,0.09067867678661844,0.511578947368421,0.512118018967334,0.49736564805057953,0.48998946259220233,0.5110642781875658,0.009084720071470204,15,0.9196522655426765,0.9030813800368712,0.9173031340531999,0.9112457203055043,0.9122991835659732,0.912716336700845,0.0057326248453453,143.73326713567053,150.73685271349822,150.63069556710377,183.99857546031177,162.1673821646377,158.2533546082444,14.167368705841838,212,74.6380648298346,78.05514621787127,74.13758852553855,70.95722285467491,77.36244392183202,75.03009326995027,2.5349291641914182
117,0.5044228273528922,145.27913575100234,1.4638366222381591,0.1412475905461997,0.012525463104248047,0.00045256239132161465,45,2,2,log2,76,True,"{'n_estimators': 45, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 76, 'bootstrap': True}",-5.951946581861894,-3.5011467652938566,-7.046476629946423,-2.784245573969141,-4.8761925715582315,-4.832001624525909,1.5572160155757147,119,-1.1314864079790012,-1.2585497511237753,-1.0455823558850048,-1.2964692830629272,-1.1963612770926921,-1.18568981502868,0.08973589067012774,0.5136842105263157,0.5142255005268704,0.5015806111696522,0.4868282402528978,0.505795574288725,0.010013967663640669,16,0.9214963119072708,0.9112457203055043,0.9167764024229655,0.9236239136160126,0.9138793784566763,0.917404345341686,0.004608157681302652,124.3664898027923,131.297704955428,140.69350163387415,183.12128137282676,146.91670099009045,145.27913575100234,20.43798822329842,254,80.71153051347663,76.68522722740182,76.77434058214516,69.57782960347528,76.40606433766922,76.03099845283361,3.596443126136875
245,0.5042198436026842,162.42334031974323,1.9223367691040039,0.21919897696256319,0.009686708450317383,0.000504853714168336,30,5,2,log2,62,False,"{'n_estimators': 30, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 62, 'bootstrap': False}",-6.057729900318042,-3.5447209179283954,-7.158832450756161,-2.8204579379635235,-4.990325947859482,-4.914413430965121,1.588147296862294,252,-0.24960759648251635,-0.3034724753188657,-0.24273837474963852,-0.3017778667129434,-0.287568396554989,-0.2770329419637906,0.025886764739889028,0.4768421052631579,0.5184404636459431,0.5047418335089568,0.5005268703898841,0.5205479452054794,0.015698942751448064,17,0.9618018967334035,0.9618119568080064,0.9641822491440611,0.9662891756649987,0.9676060047405847,0.9643382566182108,0.0023376874661377163,144.8826624681565,139.68161239939323,153.80057787167797,205.2434383699484,168.5084104895401,162.42334031974323,23.53636538012049,203,36.620159977447635,38.61915598465415,33.94930439364974,33.14911600914157,36.06975268229207,35.68149780943703,1.9532084209594496
308,0.504003993122955,125.90316269092389,37.78723440170288,2.545054661896223,0.03849916458129883,0.0005141354649990801,194,2,4,auto,29,True,"{'n_estimators': 194, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 29, 'bootstrap': True}",-5.958753329432356,-3.438007905107617,-7.063804063736295,-2.6958721838406894,-4.914328850821393,-4.814153266587669,1.5976209789620852,91,-1.909125288293705,-2.1614003263590624,-1.494553482888747,-2.052615646750193,-1.9997368094138808,-1.9234863107411175,0.22946948057143104,0.5010526315789474,0.5152792413066386,0.5089567966280295,0.48893572181243417,0.505795574288725,0.008838943177642819,18,0.8972602739726028,0.8933368448775348,0.9159863049776139,0.9170397682380826,0.8988675269949961,0.9044981438121662,0.00997933253948889,121.41352934647765,115.87305855672317,126.60149939417795,135.61063265620606,130.01709350103457,125.90316269092389,6.817724994436475,443,84.3217532919436,83.5413122534082,72.03391082624493,73.49660090004456,80.94567848091694,78.86785115051164,5.1275086206141784
29,0.5037912484055239,111.0814208471218,11.583589315414429,0.10942134166406214,0.014485883712768554,0.00044656257861263834,131,10,1,auto,10,True,"{'n_estimators': 131, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 10, 'bootstrap': True}",-5.817229608455526,-3.4227970421641185,-7.212193856817059,-2.678004832639146,-4.798234679390436,-4.785692003893257,1.6280028426973439,65,-3.6833885341797887,-4.143436134596326,-3.2530525799950087,-4.344627658458442,-3.9122765652054157,-3.8673562944869966,0.37874504727441033,0.5105263157894737,0.5089567966280295,0.4731296101159115,0.5131717597471022,0.5131717597471022,0.015415369406974059,19,0.5869336143308747,0.6025809849881485,0.6460363444824861,0.5749275744008427,0.5799315248880695,0.5980820086180844,0.025728247881701694,107.72531505411429,101.94151017643568,120.39312031743607,112.4103106865729,112.93684800105004,111.0814208471218,6.110936398234925,494,102.19995724547158,101.1956684966982,102.05325161048107,103.75971377288448,102.3412239647554,102.30996301805814,0.8273341277891649
487,0.5033739670567356,473.66356690116515,0.03970880508422851,0.0035830477879295786,0.0010245800018310546,8.300125682587591e-05,1,5,1,log2,90,True,"{'n_estimators': 1, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 90, 'bootstrap': True}",-10.881947312172901,-7.780693477129793,-11.193754842928243,-6.464232892811749,-9.40810385966085,-9.145746476940706,1.8072879016827716,500,-3.512582927002725,-4.158928729630703,-3.322403361339409,-4.320751480853186,-4.04680226691367,-3.8722937531479387,0.38613429946275524,0.4905263157894737,0.49736564805057953,0.5184404636459431,0.5005268703898841,0.5100105374077977,0.009801136518715642,20,0.7665964172813488,0.7558598893863576,0.7613905715038188,0.7642875954701079,0.7613905715038188,0.7619050090290904,0.0035988551781933973,388.92299656905027,443.81501918988437,414.10658030697743,708.6523509954745,412.8208874444394,473.66356690116515,118.77751892210983,1,254.9030757852807,247.51964496474935,203.03174053789695,208.69119016218934,211.5851857359273,225.1461674372087,21.58592351519767
280,0.5033688647329599,434.3184703648079,0.21722989082336425,0.028558279882508277,0.0011900901794433595,4.228731074815907e-05,1,2,4,,86,True,"{'n_estimators': 1, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 86, 'bootstrap': True}",-9.203631826330353,-6.338688779996854,-10.90819751030625,-5.362951850528978,-8.743381744217354,-8.111370342275958,2.0055383265640185,394,-3.6514452538660493,-4.11228648290325,-3.5551392783884923,-4.3441074909199235,-3.93952761971393,-3.92050122515833,0.29067725229402824,0.5147368421052632,0.5163329820864068,0.5100105374077977,0.4952581664910432,0.48050579557428874,0.013637554190810306,21,0.726027397260274,0.7200421385304188,0.7353173558072162,0.7171451145641295,0.7242559915722939,0.7245575995468665,0.0062186485554525306,294.72066631851214,377.079744645417,392.8387611833505,619.2316697667907,487.7215099099694,434.3184703648079,110.9316553883926,65,274.2561286224912,294.81201965760044,278.7047446492517,263.97385078344075,277.3309277682952,277.8155342962159,9.941505161660215
472,0.5033670900116466,135.67658916094624,16.748472881317138,0.37621707104840324,0.010827255249023438,0.0006223384303384492,86,10,1,,14,False,"{'n_estimators': 86, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 14, 'bootstrap': False}",-6.17450106292955,-3.567223643737202,-9.472996233692154,-2.7832657848464697,-5.8154544786304285,-5.5626882407671605,2.342468033778693,322,-3.7807843486672525,-4.285461011200074,-2.776023920559267,-4.38158997980256,-3.7776936138885238,-3.8003105748235355,0.5697916536950758,0.5231578947368422,0.4594309799789252,0.5194942044257113,0.512118018967334,0.5026343519494204,0.023061904511370614,22,0.5279241306638567,0.4985514880168554,0.5801948907031867,0.5396365551751383,0.5280484593099816,0.5348711047738038,0.026423014931233748,108.61641565134028,118.10854124131727,191.08509808358536,118.95650649034282,141.6163843381455,135.67658916094624,29.751754537725777,350,106.36690813626042,101.24441445339147,128.21758100997474,108.3737567666465,101.99883972711787,109.2403000186782,9.854109853940301
