p,d,q,sp,sd,sq,s,aic
1,1,1,1,0,1,5,21735.54969587903
1,1,1,2,1,0,5,23120.414596427658
1,1,1,2,1,1,5,21730.484330362146
1,1,1,1,0,2,5,21716.422705150933
1,1,1,0,1,2,5,21726.60809550823
1,1,1,2,0,2,5,21718.422344592414
1,1,1,1,0,0,5,21742.050048949088
1,1,1,2,0,0,5,21719.15108395806
1,1,1,0,0,0,5,21755.26431812882
1,1,1,0,1,1,5,21754.76724703903
1,1,1,1,1,1,5,21756.764138133527
1,1,1,2,1,2,5,21730.04502843984
1,1,1,0,1,0,5,25347.500485440236
1,1,1,0,0,2,5,21714.422699254123
1,1,1,2,0,1,5,21720.673053733513
1,1,1,1,1,0,5,23843.673903857292
2,0,0,1,1,2,5,21725.003485942387
2,0,0,0,0,1,5,21733.301561691384
2,0,0,1,0,1,5,21730.408503358572
2,0,0,2,1,0,5,23099.839145158396
2,0,0,2,1,1,5,21709.826485592184
2,0,0,1,0,2,5,21716.26842164342
2,0,0,0,1,2,5,21723.058935520232
2,0,0,2,0,2,5,21714.755661370255
2,0,0,1,0,0,5,21728.64649823008
2,0,0,2,0,0,5,21713.550674677022
2,0,0,0,0,0,5,21750.980094461527
2,0,0,0,1,1,5,21745.101534499117
2,0,0,1,1,1,5,21742.81352839287
2,0,0,2,1,2,5,21709.40915545084
2,0,0,0,1,0,5,25341.149266318083
2,0,0,0,0,2,5,21714.268365306983
2,0,0,2,0,1,5,21712.85650001693
2,0,0,1,1,0,5,23835.23799842481
1,0,1,1,1,2,5,21710.00763743423
1,0,1,0,0,1,5,21728.72208401723
1,0,1,1,0,1,5,21730.548650113826
1,0,1,2,1,0,5,23115.780926561965
1,0,1,2,1,1,5,21723.196206729484
1,0,1,1,0,2,5,21712.824261471065
1,0,1,0,1,2,5,21709.526288841967
1,0,1,2,0,2,5,21714.849153596122
1,0,1,1,0,0,5,21733.44528517271
1,0,1,2,0,0,5,21717.06388872052
1,0,1,0,0,0,5,21750.84993516303
1,0,1,0,1,1,5,21740.82438261273
1,0,1,1,1,1,5,21742.60052465287
1,0,1,2,1,2,5,21709.473146384138
1,0,1,0,1,0,5,25341.188893084753
1,0,1,0,0,2,5,21710.824265671046
1,0,1,2,0,1,5,21716.30321476824
1,0,1,1,1,0,5,23839.315154494077
4,0,3,1,1,2,5,21705.087539857548
4,0,3,0,0,1,5,21721.47887766586
4,0,3,1,0,1,5,21725.78833116904
4,0,3,2,1,0,5,22848.323238602443
4,0,3,2,1,1,5,21706.211398592626
4,0,3,1,0,2,5,21708.381102066032
4,0,3,0,1,2,5,21702.938110913055
4,0,3,2,0,2,5,21705.092340447613
4,0,3,1,0,0,5,21721.519034916884
4,0,3,2,0,0,5,21707.955917461164
4,0,3,0,0,0,5,21747.54149198737
4,0,3,0,1,1,5,21737.739902916976
4,0,3,1,1,1,5,21737.642082035494
4,0,3,2,1,2,5,21706.278311641614
4,0,3,0,1,0,5,23190.824006603863
4,0,3,0,0,2,5,21706.38182842684
4,0,3,2,0,1,5,21708.67123846812
4,0,3,1,1,0,5,23344.15075462924
3,1,0,1,1,2,5,22783.599860267357
3,1,0,0,0,1,5,22809.884068503983
3,1,0,1,0,1,5,22803.040980480877
3,1,0,2,1,0,5,24183.2719810192
3,1,0,2,1,1,5,22781.86561559526
3,1,0,1,0,2,5,22797.31066359559
3,1,0,0,1,2,5,22781.59975942182
3,1,0,2,0,2,5,22786.991033992752
3,1,0,1,0,0,5,22801.637029893584
3,1,0,2,0,0,5,22786.818284933775
3,1,0,0,0,0,5,22832.700919730298
3,1,0,0,1,1,5,22824.582705428726
3,1,0,1,1,1,5,22811.35835958292
3,1,0,2,1,2,5,22783.32867662473
3,1,0,0,1,0,5,26382.696808590732
3,1,0,0,0,2,5,22795.31203745665
3,1,0,2,0,1,5,22786.1423877853
3,1,0,1,1,0,5,24877.12561987272
3,0,0,1,1,2,5,21725.92112652741
3,0,0,0,0,1,5,21733.983894436875
3,0,0,1,0,1,5,21726.052256170915
3,0,0,2,1,0,5,23095.16944767317
3,0,0,2,1,1,5,21705.032105560298
3,0,0,1,0,2,5,21718.176228006523
3,0,0,0,1,2,5,21723.585173161395
3,0,0,2,0,2,5,21711.46636096561
3,0,0,1,0,0,5,21725.40181429022
3,0,0,2,0,0,5,21710.196202249805
3,0,0,0,0,0,5,21749.363972827687
3,0,0,0,1,1,5,21746.45932964459
3,0,0,1,1,1,5,21743.17420495529
3,0,0,2,1,2,5,21704.53613330623
3,0,0,0,1,0,5,25337.402726496686
3,0,0,0,0,2,5,21716.17991003451
3,0,0,2,0,1,5,21709.570625459586
3,0,0,1,1,0,5,23830.951824124462
4,1,2,1,1,2,5,21854.22961754031
4,1,2,0,0,1,5,21733.0876830781
4,1,2,1,0,1,5,21736.23656465485
4,1,2,2,1,0,5,24225.023913797966
4,1,2,2,1,1,5,22334.72927219631
4,1,2,1,0,2,5,21720.341897670787
4,1,2,0,1,2,5,22508.526990530176
4,1,2,2,0,2,5,21715.54909499526
4,1,2,1,0,0,5,21735.920570040707
4,1,2,2,0,0,5,21714.346644593024
4,1,2,0,0,0,5,21756.63085298185
4,1,2,0,1,1,5,22946.17950381214
4,1,2,1,1,1,5,22425.17600818543
4,1,2,2,1,2,5,22876.661431501405
4,1,2,0,1,0,5,25781.295083373527
4,1,2,0,0,2,5,21717.998737747308
4,1,2,2,0,1,5,21716.234076570407
4,1,2,1,1,0,5,24829.48153261518
0,1,0,1,1,2,5,25420.349828657047
0,1,0,0,0,1,5,25441.56516690388
0,1,0,1,0,1,5,25439.467580569722
0,1,0,2,1,0,5,26872.261679159434
0,1,0,2,1,1,5,25433.351498618864
0,1,0,1,0,2,5,25424.758069902546
0,1,0,0,1,2,5,25417.058826732646
0,1,0,2,0,2,5,25426.743410605573
0,1,0,1,0,0,5,25448.295106677244
0,1,0,2,0,0,5,25428.081616330877
0,1,0,0,0,0,5,25466.62858833609
0,1,0,0,1,1,5,25451.17925270072
0,1,0,1,1,1,5,25452.976276236965
0,1,0,2,1,2,5,25421.015408735646
0,1,0,0,1,0,5,29032.24926693544
0,1,0,0,0,2,5,25422.77429095305
0,1,0,2,0,1,5,25427.717502489835
0,1,0,1,1,0,5,27559.551378112417
2,1,3,1,1,2,5,21723.765035393466
2,1,3,0,0,1,5,21734.700298103096
2,1,3,1,0,1,5,21736.016371071484
2,1,3,2,1,0,5,23118.364400860042
2,1,3,2,1,1,5,21731.39308054249
2,1,3,1,0,2,5,21713.855503398976
2,1,3,0,1,2,5,21722.88835149513
2,1,3,2,0,2,5,21715.18829180816
2,1,3,1,0,0,5,21737.92689417518
2,1,3,2,0,0,5,21720.352806443716
2,1,3,0,0,0,5,21752.85755532664
2,1,3,0,1,1,5,21751.198614192566
2,1,3,1,1,1,5,21753.207420412753
2,1,3,2,1,2,5,21727.220497751514
2,1,3,0,1,0,5,24276.932554355473
2,1,3,0,0,2,5,21711.998366051095
2,1,3,2,0,1,5,21722.111077480422
2,1,3,1,1,0,5,23223.61460680796
1,0,4,1,1,2,5,21697.807152864003
1,0,4,0,0,1,5,21719.45027791699
1,0,4,1,0,1,5,21721.450296484207
1,0,4,2,1,0,5,22876.00540672856
1,0,4,2,1,1,5,21726.78085830999
1,0,4,1,0,2,5,21700.477671371274
1,0,4,0,1,2,5,21697.988829319518
1,0,4,2,0,2,5,21702.512144479064
1,0,4,1,0,0,5,21735.944039937185
1,0,4,2,0,0,5,21721.48893240891
1,0,4,0,0,0,5,21740.735676242675
1,0,4,0,1,1,5,21731.51428771606
1,0,4,1,1,1,5,21729.807484795605
1,0,4,2,1,2,5,21695.649233469885
1,0,4,0,1,0,5,23831.43731198133
1,0,4,0,0,2,5,21701.129891892837
1,0,4,2,0,1,5,21719.890784336778
1,0,4,1,1,0,5,23430.88624693465
4,1,4,1,1,2,5,21723.919801429773
4,1,4,0,0,1,5,21730.676912350904
4,1,4,1,0,1,5,21733.287832185466
4,1,4,2,1,0,5,22646.55604339362
4,1,4,2,1,1,5,21729.64168349377
4,1,4,1,0,2,5,21714.068095214716
4,1,4,0,1,2,5,21721.827287688575
4,1,4,2,0,2,5,21716.10036514158
4,1,4,1,0,0,5,21736.546472606828
4,1,4,2,0,0,5,21714.491477380026
4,1,4,0,0,0,5,21749.921208316293
4,1,4,0,1,1,5,21749.031278167065
4,1,4,1,1,1,5,21750.65451250806
4,1,4,2,1,2,5,21730.05105298789
4,1,4,0,1,0,5,23914.255493093224
4,1,4,0,0,2,5,21711.62177947971
4,1,4,2,0,1,5,21717.95997970919
4,1,4,1,1,0,5,23071.662619974384
4,1,0,1,1,2,5,21775.41123346572
4,1,0,0,0,1,5,21745.55613316825
4,1,0,1,0,1,5,21741.716177109112
4,1,0,2,1,0,5,24046.510587413577
4,1,0,2,1,1,5,22100.909708043266
4,1,0,1,0,2,5,21741.61163080112
4,1,0,0,1,2,5,21767.924420940228
4,1,0,2,0,2,5,21719.952335501403
4,1,0,1,0,0,5,22310.693468046524
4,1,0,2,0,0,5,22092.74532798007
4,1,0,0,0,0,5,22672.11448661006
4,1,0,0,1,1,5,22677.08135793043
4,1,0,1,1,1,5,22321.236412530263
4,1,0,2,1,2,5,21791.968097224068
4,1,0,0,1,0,5,26120.450625806883
4,1,0,0,0,2,5,21740.840839409942
4,1,0,2,0,1,5,21715.229006807178
4,1,0,1,1,0,5,24860.27675491509
4,1,1,1,1,2,5,21731.80018621812
4,1,1,0,0,1,5,21737.0416365564
4,1,1,1,0,1,5,21732.48665623984
4,1,1,2,1,0,5,23094.173626090604
4,1,1,2,1,1,5,21721.101833682893
4,1,1,1,0,2,5,21720.867138662474
4,1,1,0,1,2,5,21729.78954340847
4,1,1,2,0,2,5,21714.774761572102
4,1,1,1,0,0,5,21732.5344723207
4,1,1,2,0,0,5,21710.7928999701
4,1,1,0,0,0,5,21752.927975448096
4,1,1,0,1,1,5,21759.998665925574
4,1,1,1,1,1,5,21750.760871846775
4,1,1,2,1,2,5,21725.09668650797
4,1,1,0,1,0,5,25338.71024728618
4,1,1,0,0,2,5,21718.878733868085
4,1,1,2,0,1,5,21712.703015838226
4,1,1,1,1,0,5,23824.17828554011
1,1,4,1,1,2,5,21715.100370012624
1,1,4,0,0,1,5,21724.445235315296
1,1,4,1,0,1,5,21727.912214939013
1,1,4,2,1,0,5,23121.911678998884
1,1,4,2,1,1,5,21735.43934256746
1,1,4,1,0,2,5,21708.129700229467
1,1,4,0,1,2,5,21714.12602064177
1,1,4,2,0,2,5,21710.112776139365
1,1,4,1,0,0,5,21743.67352292328
1,1,4,2,0,0,5,21723.795704846492
1,1,4,0,0,0,5,21747.520471425203
1,1,4,0,1,1,5,21748.952972378287
1,1,4,1,1,1,5,21746.06678992009
1,1,4,2,1,2,5,21719.804496387645
1,1,4,0,1,0,5,24418.254918710623
1,1,4,0,0,2,5,21706.17146736078
1,1,4,2,0,1,5,21725.619879653404
1,1,4,1,1,0,5,23845.468443044483
2,1,1,1,1,2,5,21729.2971167506
2,1,1,0,0,1,5,21735.420360153585
2,1,1,1,0,1,5,21737.117598744786
2,1,1,2,1,0,5,23115.153842014894
2,1,1,2,1,1,5,21727.738483525507
2,1,1,1,0,2,5,21718.414288321284
2,1,1,0,1,2,5,21728.29522960483
2,1,1,2,0,2,5,21720.41406010907
2,1,1,1,0,0,5,21735.30848431754
2,1,1,2,0,0,5,21718.600297811623
2,1,1,0,0,0,5,21756.890762883333
2,1,1,0,1,1,5,21756.340290784545
2,1,1,1,1,1,5,21761.691388228028
2,1,1,2,1,2,5,21731.236809156675
2,1,1,0,1,0,5,25349.381072347278
2,1,1,0,0,2,5,21716.41435968407
2,1,1,2,0,1,5,21718.513053803363
2,1,1,1,1,0,5,23840.874671721358
