p,d,q,sp,sd,sq,s,aic
0,0,3,1,1,2,5,21698.81082155388
0,0,3,0,0,1,5,21716.410759208884
0,0,3,1,0,1,5,21718.222642452383
0,0,3,2,1,0,5,23128.194754254575
0,0,3,2,1,1,5,21729.01646229607
0,0,3,1,0,2,5,21705.883771523288
0,0,3,0,1,2,5,21698.62206349786
0,0,3,2,0,2,5,21707.883706796114
0,0,3,1,0,0,5,21741.07156541846
0,0,3,2,0,0,5,21721.02584527569
0,0,3,0,0,0,5,21744.35253551427
0,0,3,0,1,1,5,21734.448044580844
0,0,3,1,1,1,5,21735.153572126674
0,0,3,2,1,2,5,21699.827811977797
0,0,3,0,1,0,5,25127.155646199724
0,0,3,0,0,2,5,21703.883773893627
0,0,3,2,0,1,5,21720.409148909974
0,0,3,1,1,0,5,23849.646755300324
4,0,4,1,1,2,5,21702.74816730688
4,0,4,0,0,1,5,21733.06519911094
4,0,4,1,0,1,5,21734.84377253262
4,0,4,2,1,0,5,22391.310551626146
4,0,4,2,1,1,5,21707.15582051412
4,0,4,1,0,2,5,21706.022844644052
4,0,4,0,1,2,5,21703.113996946526
4,0,4,2,0,2,5,21708.842876035615
4,0,4,1,0,0,5,21722.4675275486
4,0,4,2,0,0,5,21708.86930440148
4,0,4,0,0,0,5,21745.277567681424
4,0,4,0,1,1,5,21738.649177399453
4,0,4,1,1,1,5,21735.21166235576
4,0,4,2,1,2,5,21704.227010531293
4,0,4,0,1,0,5,23407.73370315686
4,0,4,0,0,2,5,21704.00850312865
4,0,4,2,0,1,5,21710.175724596433
4,0,4,1,1,0,5,22754.553738039074
0,1,4,1,1,2,5,21715.743661660203
0,1,4,0,0,1,5,21722.919383329398
0,1,4,1,0,1,5,21724.876457474875
0,1,4,2,1,0,5,23132.638817340496
0,1,4,2,1,1,5,21751.85662863445
0,1,4,1,0,2,5,21706.70844915259
0,1,4,0,1,2,5,21711.32993668885
0,1,4,2,0,2,5,21708.681435106864
0,1,4,1,0,0,5,21746.381997988
0,1,4,2,0,0,5,21724.971740912573
0,1,4,0,0,0,5,21744.959147669688
0,1,4,0,1,1,5,21746.096441913825
