,mean_test_dir_acc,mean_test_mape,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tol,param_kernel,param_gamma,param_epsilon,param_C,params,split0_test_neg_mse,split1_test_neg_mse,split2_test_neg_mse,split3_test_neg_mse,split4_test_neg_mse,mean_test_neg_mse,std_test_neg_mse,rank_test_neg_mse,split0_train_neg_mse,split1_train_neg_mse,split2_train_neg_mse,split3_train_neg_mse,split4_train_neg_mse,mean_train_neg_mse,std_train_neg_mse,split0_test_dir_acc,split1_test_dir_acc,split2_test_dir_acc,split3_test_dir_acc,split4_test_dir_acc,std_test_dir_acc,rank_test_dir_acc,split0_train_dir_acc,split1_train_dir_acc,split2_train_dir_acc,split3_train_dir_acc,split4_train_dir_acc,mean_train_dir_acc,std_train_dir_acc,split0_test_mape,split1_test_mape,split2_test_mape,split3_test_mape,split4_test_mape,mean_test_mape,std_test_mape,rank_test_mape,split0_train_mape,split1_train_mape,split2_train_mape,split3_train_mape,split4_train_mape,mean_train_mape,std_train_mape
317,0.5260488699824599,108.58645611816496,13.646723127365112,0.07735322162620052,3.3055908203125,0.00835848110102529,0.001,rbf,0.001,1e-08,0.0001,"{'tol': 0.001, 'kernel': 'rbf', 'gamma': 0.001, 'epsilon': 1e-08, 'C': 0.0001}",-6.8571715755155855,-4.073186862753749,-8.118381397848419,-3.23953280453166,-5.616634320988892,-5.5809813923276606,1.7789973094813265,156,-5.256947672545824,-5.952664060580915,-4.9497672469040666,-6.165566003151472,-5.570335206590239,-5.579056037954503,0.44348869847016903,0.5323834196891192,0.5492227979274611,0.4980544747081712,0.5201037613488976,0.5304798962386511,0.016827489019501835,3,0.5244732576985414,0.520259319286872,0.5330524951393389,0.5275437459494491,0.5249513933895009,0.5260560422927405,0.004206924493800373,101.37522371525223,101.86289448441015,111.6940904858343,118.8025526279322,109.1975192773959,108.58645611816496,6.50549877036781,345,107.9110742669362,106.98898438813735,110.45674859206724,106.71697392145889,108.1803254497736,108.05082132367465,1.321471388219036
316,0.5260488699824599,108.58804075468159,13.61528959274292,0.06721591059948859,3.3324554443359373,0.024755780276288046,1e-10,rbf,10,1e-07,1e-06,"{'tol': 1e-10, 'kernel': 'rbf', 'gamma': 10, 'epsilon': 1e-07, 'C': 1e-06}",-6.857179918137887,-4.073186862753749,-8.118381397848419,-3.23953280453166,-5.616634320988892,-5.580983060852121,1.7789985064248952,188,-5.257296150264985,-5.953003646288328,-4.9500842297344825,-6.165918996636996,-5.570667212690375,-5.579394047123033,0.44349739752382134,0.5323834196891192,0.5492227979274611,0.4980544747081712,0.5201037613488976,0.5304798962386511,0.016827489019501835,3,0.5244732576985414,0.520259319286872,0.5330524951393389,0.5275437459494491,0.5249513933895009,0.5260560422927405,0.004206924493800373,101.38314689783535,101.86289448441015,111.6940904858343,118.8025526279322,109.1975192773959,108.58804075468159,6.503742763298502,266,107.95730735550603,107.01370716046523,110.48151257604954,106.73812424145052,108.20410869026927,108.07895200474812,1.3217658328533834
315,0.5260488699824599,108.64078823140089,13.700901794433594,0.07378444815279342,3.3012850284576416,0.016323052016183993,0.01,rbf,1e-09,0.001,0.001,"{'tol': 0.01, 'kernel': 'rbf', 'gamma': 1e-09, 'epsilon': 0.001, 'C': 0.001}",-6.857144754170441,-4.073194079422579,-8.117880667658381,-3.2402982175652557,-5.61666254737117,-5.581036053237566,1.7786480424605036,273,-5.2571358917205595,-5.953248678490232,-4.949698760838538,-6.166170555072096,-5.570706277470699,-5.579392032718425,0.44373773905070585,0.5323834196891192,0.5492227979274611,0.4980544747081712,0.5201037613488976,0.5304798962386511,0.016827489019501835,3,0.5244732576985414,0.520259319286872,0.5330524951393389,0.5275437459494491,0.5249513933895009,0.5260560422927405,0.004206924493800373,101.33535998343,101.98431848773326,111.4592031203145,119.19579830422407,109.22926126130257,108.64078823140089,6.593570686130301,200,107.83455022379522,107.20517625748656,110.2310854915405,106.93922907845446,108.23240052409508,108.08848831507437,1.1642126028131234
312,0.5260488699824599,108.58804075468159,13.702025032043457,0.06512763364712686,3.3192931175231934,0.02861793270421913,1e-08,rbf,1,1e-07,1e-05,"{'tol': 1e-08, 'kernel': 'rbf', 'gamma': 1, 'epsilon': 1e-07, 'C': 1e-05}",-6.857179918137887,-4.073186862753749,-8.118381397848419,-3.23953280453166,-5.616634320988892,-5.580983060852121,1.7789985064248952,188,-5.257266790588643,-5.952972774050642,-4.950055412300433,-6.165886905509813,-5.570637029503078,-5.579363782390522,0.44349626956990784,0.5323834196891192,0.5492227979274611,0.4980544747081712,0.5201037613488976,0.5304798962386511,0.016827489019501835,3,0.5244732576985414,0.520259319286872,0.5330524951393389,0.5275437459494491,0.5249513933895009,0.5260560422927405,0.004206924493800373,101.38314689783535,101.86289448441015,111.6940904858343,118.8025526279322,109.1975192773959,108.58804075468159,6.503742763298502,266,107.95497283515103,107.01145963570818,110.47925725822405,106.73619703795165,108.20194190242556,108.0767657338921,1.3217011477034175
331,0.5260488699824599,101.51451397372259,13.657904529571534,0.10418775296372684,3.129954481124878,0.01708551360358011,1e-05,rbf,10,0.1,10,"{'tol': 1e-05, 'kernel': 'rbf', 'gamma': 10, 'epsilon': 0.1, 'C': 10}",-6.859500749665934,-4.0786384441433565,-8.103476582430295,-3.219885426245972,-5.614905112933674,-5.575281263083847,1.7793476662888958,18,-0.02539072454387452,-0.037446963422065625,-0.026111156645768668,-0.03960866619990953,-0.0388803171896073,-0.03348756560024513,0.006359193620625593,0.5323834196891192,0.5492227979274611,0.4980544747081712,0.5201037613488976,0.5304798962386511,0.016827489019501835,3,0.9737439222042139,0.9711507293354943,0.9714841218405703,0.9740764744005185,0.9734283862605314,0.9727767268082657,0.0012136034083016865,98.99801696026302,98.67060056997977,101.97791139160479,107.72654702927306,100.19949391749223,101.51451397372259,3.3152366511360474,484,18.63894485508523,18.309730966189107,19.453532332917884,17.878950923754264,18.302772606351628,18.51678633685962,0.5268630908095572
311,0.5260488699824599,107.4214712057842,10.501694393157958,0.25555651298351767,2.510191059112549,0.06446897644512616,1,rbf,0.0001,1e-08,1e-08,"{'tol': 1, 'kernel': 'rbf', 'gamma': 0.0001, 'epsilon': 1e-08, 'C': 1e-08}",-6.856642739156037,-4.0734738138109305,-8.112495827293044,-3.2430140981946995,-5.614745761435634,-5.580074447978069,1.7762704351439202,106,-5.2551189404221565,-5.950671403092355,-4.9458151822410334,-6.167130662977868,-5.567310641661057,-5.577209366078894,0.44496738578334666,0.5323834196891192,0.5492227979274611,0.4980544747081712,0.5201037613488976,0.5304798962386511,0.016827489019501835,3,0.5244732576985414,0.520259319286872,0.5330524951393389,0.5275437459494491,0.5249513933895009,0.5260560422927405,0.004206924493800373,100.65993733948908,100.66815933075586,108.69362898623712,120.5740733760631,106.51155699637587,107.4214712057842,7.30428414894889,392,106.03663542426445,105.03177009339389,107.40083917597943,107.6430850451796,105.89770005035963,106.4020059578354,0.9801338171933193
310,0.5260488699824599,108.62753050269816,13.652201318740845,0.04077010755182606,3.321880578994751,0.008834127759789652,0.01,rbf,1,1e-05,0.01,"{'tol': 0.01, 'kernel': 'rbf', 'gamma': 1, 'epsilon': 1e-05, 'C': 0.01}",-6.857167729209876,-4.073190450098,-8.11812374674238,-3.2403861108425738,-5.616478842077504,-5.581069375794067,1.7786974290431337,282,-5.224739931862136,-5.9189600843081465,-4.917973680121021,-6.130651648681501,-5.536979891704248,-5.54586104733541,0.44240775997901927,0.5323834196891192,0.5492227979274611,0.4980544747081712,0.5201037613488976,0.5304798962386511,0.016827489019501835,3,0.5244732576985414,0.520259319286872,0.5330524951393389,0.5275437459494491,0.5249513933895009,0.5260560422927405,0.004206924493800373,101.3715522460955,101.9382900538726,111.57439552506021,119.23860487751563,109.01480981094682,108.62753050269816,6.615497809734665,223,105.35630008172497,104.65665394152764,107.8758087638754,104.8507959515608,105.66711975080982,105.68133569789973,1.1542383856307112
309,0.5260488699824599,108.58804075468159,13.760784149169922,0.037663981394323566,3.309562158584595,0.06112788076895392,1e-07,rbf,10,1e-09,1e-06,"{'tol': 1e-07, 'kernel': 'rbf', 'gamma': 10, 'epsilon': 1e-09, 'C': 1e-06}",-6.857179918137887,-4.073186862753749,-8.118381397848419,-3.23953280453166,-5.616634320988892,-5.580983060852121,1.7789985064248952,188,-5.257296150264985,-5.953003646288328,-4.9500842297344825,-6.165918996636996,-5.570667212690375,-5.579394047123033,0.44349739752382134,0.5323834196891192,0.5492227979274611,0.4980544747081712,0.5201037613488976,0.5304798962386511,0.016827489019501835,3,0.5244732576985414,0.520259319286872,0.5330524951393389,0.5275437459494491,0.5249513933895009,0.5260560422927405,0.004206924493800373,101.38314689783535,101.86289448441015,111.6940904858343,118.8025526279322,109.1975192773959,108.58804075468159,6.503742763298502,266,107.95730735550603,107.01370716046523,110.48151257604954,106.73812424145052,108.20410869026927,108.07895200474812,1.3217658328533834
308,0.5260488699824599,108.64071625417262,13.771308994293213,0.07936165970143093,3.3019577503204345,0.011389553355450725,0.001,rbf,1e-09,0.01,1e-05,"{'tol': 0.001, 'kernel': 'rbf', 'gamma': 1e-09, 'epsilon': 0.01, 'C': 1e-05}",-6.857139169792044,-4.073187310474532,-8.117973889486697,-3.2411271930996373,-5.61635046900138,-5.581155606370857,1.778455571015059,309,-5.257172972487026,-5.953032833593145,-4.94978047521735,-6.166462559739926,-5.570205550388375,-5.579330878285164,0.4437520615499643,0.5323834196891192,0.5492227979274611,0.4980544747081712,0.5201037613488976,0.5304798962386511,0.016827489019501835,3,0.5244732576985414,0.520259319286872,0.5330524951393389,0.5275437459494491,0.5249513933895009,0.5260560422927405,0.004206924493800373,101.34376415006383,101.8754896772593,111.50430415804675,119.61852480914261,108.8614984763506,108.64071625417262,6.749443855445402,203,107.8553461472669,107.03390356421,110.28071532230122,107.15583175965683,107.91061813266445,108.04728298521988,1.171781564498451
306,0.5260488699824599,108.58804075468159,13.68371410369873,0.0798432184813678,3.3285189628601075,0.007312427662945722,1e-05,rbf,0.1,1e-05,1e-06,"{'tol': 1e-05, 'kernel': 'rbf', 'gamma': 0.1, 'epsilon': 1e-05, 'C': 1e-06}",-6.857179918137887,-4.073186862753749,-8.118381397848419,-3.23953280453166,-5.616634320988892,-5.580983060852121,1.7789985064248952,188,-5.257296150264985,-5.953003646288328,-4.9500842297344825,-6.165918996636996,-5.570667212690375,-5.579394047123033,0.44349739752382134,0.5323834196891192,0.5492227979274611,0.4980544747081712,0.5201037613488976,0.5304798962386511,0.016827489019501835,3,0.5244732576985414,0.520259319286872,0.5330524951393389,0.5275437459494491,0.5249513933895009,0.5260560422927405,0.004206924493800373,101.38314689783535,101.86289448441015,111.6940904858343,118.8025526279322,109.1975192773959,108.58804075468159,6.503742763298502,266,107.95730735550603,107.01370716046523,110.48151257604954,106.73812424145052,108.20410869026927,108.07895200474812,1.3217658328533834
