DATE,RETURN,ESS_MEAN,ESS_TOTAL,WESS_MEAN,WESS_TOTAL,NUM_EVENTS,NUM_POSITIVE_ESS,NUM_NEGATIVE_ESS,NUM_NEUTRAL_ESS,NUM_POSITIVE_WESS,NUM_NEGATIVE_WESS,NUM_NEUTRAL_WESS
2000-08-17,-0.09405864,2.6842105,51.0,-3.683684,-69.99,19.0,12.0,7.0,0.0,9.0,7.0,3.0
2000-08-18,0.28191093,-0.33333334,-3.0,-1.2166667,-10.95,9.0,4.0,5.0,0.0,4.0,5.0,0.0
2000-08-21,0.46591845,-5.8,-87.0,-3.4013333,-51.02,15.0,5.0,9.0,1.0,5.0,9.0,1.0
2000-08-22,-3.7076192,1.7619047,37.0,1.6019047,33.64,21.0,11.0,10.0,0.0,11.0,6.0,4.0
2000-08-23,-0.03201537,3.0952382,65.0,1.9380952,40.7,21.0,11.0,8.0,2.0,11.0,4.0,6.0
2000-08-24,6.7476087,-4.571429,-64.0,-0.011428571,-0.16,14.0,3.0,10.0,1.0,2.0,7.0,5.0
2000-08-25,1.7799343,-4.875,-39.0,1.575,12.6,8.0,3.0,5.0,0.0,3.0,1.0,4.0
2000-08-28,-1.0858074,2.5,25.0,3.163,31.63,10.0,4.0,4.0,2.0,4.0,4.0,2.0
2000-08-29,-0.57882875,-11.095238,-233.0,-7.6023808,-159.65,21.0,1.0,14.0,6.0,1.0,13.0,7.0
2000-08-30,1.5762678,5.3333335,128.0,1.9829167,47.59,24.0,16.0,8.0,0.0,13.0,5.0,6.0
2000-08-31,-0.4823645,-1.6363636,-18.0,-0.5890909,-6.48,11.0,4.0,6.0,1.0,4.0,6.0,1.0
2000-09-01,0.99234015,3.631579,69.0,1.9673684,37.38,19.0,8.0,5.0,6.0,8.0,5.0,6.0
2000-09-04,,18.0,18.0,18.0,18.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2000-09-05,0.3712572,18.0,162.0,11.2,100.8,9.0,9.0,0.0,0.0,9.0,0.0,0.0
2000-09-06,3.048574,11.363636,125.0,2.0854545,22.94,11.0,9.0,2.0,0.0,7.0,2.0,2.0
2000-09-07,0.5987188,1.4736842,28.0,-1.1678947,-22.19,19.0,9.0,10.0,0.0,7.0,10.0,2.0
2000-09-08,-4.535661,-12.434783,-286.0,-2.345652,-53.95,23.0,2.0,21.0,0.0,1.0,6.0,16.0
2000-09-11,1.4739652,4.0625,65.0,3.993125,63.89,16.0,9.0,6.0,1.0,9.0,3.0,4.0
2000-09-12,-2.5653517,-1.8648648,-69.0,-1.41,-52.17,37.0,14.0,20.0,3.0,14.0,15.0,8.0
2000-09-13,-1.1156898,-3.6875,-59.0,3.473125,55.57,16.0,5.0,11.0,0.0,5.0,0.0,11.0
2000-09-14,1.4654424,-0.85714287,-18.0,1.4071429,29.55,21.0,9.0,12.0,0.0,8.0,6.0,7.0
2000-09-15,4.27172,10.727273,118.0,2.6363637,29.0,11.0,9.0,2.0,0.0,8.0,2.0,1.0
2000-09-18,0.8078978,10.08,252.0,3.3492,83.73,25.0,19.0,6.0,0.0,10.0,5.0,10.0
2000-09-19,0.5698021,6.4418607,277.0,-0.7427907,-31.94,43.0,28.0,15.0,0.0,8.0,8.0,27.0
2000-09-20,0.70100045,9.678572,271.0,4.870357,136.37,28.0,19.0,9.0,0.0,8.0,4.0,16.0
2000-09-21,-9.520271,-6.3846154,-249.0,0.36692306,14.31,39.0,8.0,27.0,4.0,7.0,9.0,23.0
2000-09-22,-3.5492446,-3.8095238,-80.0,-1.2023809,-25.25,21.0,7.0,14.0,0.0,5.0,7.0,9.0
2000-09-25,-1.2054514,-7.5151515,-248.0,-2.7115152,-89.48,33.0,9.0,24.0,0.0,6.0,10.0,17.0
2000-09-26,0.88496155,0.93939394,31.0,1.4212121,46.9,33.0,16.0,16.0,1.0,13.0,5.0,15.0
2000-09-27,-1.745799,6.0857143,213.0,-0.16342857,-5.72,35.0,19.0,8.0,8.0,7.0,8.0,20.0
2000-09-28,-3.1552463,-11.615385,-302.0,-2.86,-74.36,26.0,3.0,23.0,0.0,1.0,11.0,14.0
2000-09-29,1.995813,-2.173913,-50.0,-0.4947826,-11.38,23.0,11.0,12.0,0.0,11.0,5.0,7.0
2000-10-02,1.2504115,8.0,48.0,5.18,31.08,6.0,5.0,1.0,0.0,5.0,1.0,0.0
2000-10-03,-0.59458786,-2.6666667,-40.0,-1.2306666,-18.46,15.0,6.0,9.0,0.0,6.0,9.0,0.0
2000-10-04,-3.027155,-16.666666,-200.0,-9.66,-115.92,12.0,1.0,11.0,0.0,1.0,7.0,4.0
2000-10-05,-0.81208825,-8.25,-99.0,-1.35,-16.2,12.0,2.0,9.0,1.0,2.0,5.0,5.0
2000-10-06,0.6501973,6.8,34.0,3.416,17.08,5.0,4.0,1.0,0.0,4.0,1.0,0.0
2000-10-09,1.1883286,11.5,138.0,6.5175,78.21,12.0,9.0,3.0,0.0,9.0,3.0,0.0
2000-10-10,4.0146346,14.142858,99.0,12.081429,84.57,7.0,6.0,1.0,0.0,6.0,1.0,0.0
2000-10-11,-0.27071756,-2.5,-10.0,-6.46,-25.84,4.0,2.0,2.0,0.0,2.0,2.0,0.0
2000-10-12,8.263434,6.5,117.0,0.575,10.35,18.0,12.0,6.0,0.0,9.0,6.0,3.0
2000-10-13,-3.0979667,5.625,90.0,-1.891875,-30.27,16.0,10.0,6.0,0.0,1.0,6.0,9.0
2000-10-16,-1.7419089,-5.0,-90.0,-2.9283333,-52.71,18.0,5.0,12.0,1.0,5.0,10.0,3.0
2000-10-17,0.5410293,-11.133333,-167.0,-6.3546667,-95.32,15.0,5.0,10.0,0.0,5.0,6.0,4.0
2000-10-18,0.44863242,10.5,126.0,5.9425,71.31,12.0,9.0,3.0,0.0,9.0,3.0,0.0
2000-10-19,-1.3519809,9.75,117.0,3.2625,39.15,12.0,9.0,3.0,0.0,9.0,3.0,0.0
2000-10-20,3.7112765,5.6,56.0,0.851,8.51,10.0,7.0,3.0,0.0,7.0,3.0,0.0
2000-10-23,0.56833243,7.25,87.0,4.6375,55.65,12.0,7.0,3.0,2.0,7.0,3.0,2.0
2000-10-24,-1.0658318,-4.857143,-68.0,-5.892143,-82.49,14.0,5.0,9.0,0.0,4.0,9.0,1.0
2000-10-25,-2.6707385,-0.7894737,-15.0,-1.9326316,-36.72,19.0,9.0,10.0,0.0,8.0,10.0,1.0
2000-10-26,0.38592893,7.1538463,93.0,3.853846,50.1,13.0,9.0,4.0,0.0,9.0,4.0,0.0
2000-10-27,-2.9161844,-8.692307,-113.0,-6.0015383,-78.02,13.0,3.0,10.0,0.0,3.0,9.0,1.0
2000-10-30,0.08125131,9.0,117.0,6.140769,79.83,13.0,9.0,4.0,0.0,9.0,4.0,0.0
2000-10-31,-0.48810348,14.076923,183.0,12.159231,158.07,13.0,10.0,3.0,0.0,10.0,3.0,0.0
2000-11-01,1.3365934,17.454546,192.0,9.403636,103.44,11.0,10.0,0.0,1.0,10.0,0.0,1.0
2000-11-02,-1.6735519,-5.571429,-39.0,-6.2957144,-44.07,7.0,2.0,5.0,0.0,2.0,5.0,0.0
2000-11-03,0.09201043,6.181818,68.0,3.6863637,40.55,11.0,8.0,3.0,0.0,8.0,3.0,0.0
2000-11-06,0.40626138,3.857143,27.0,1.1271429,7.89,7.0,4.0,3.0,0.0,4.0,3.0,0.0
2000-11-07,1.263935,0.26666668,4.0,0.34666666,5.2,15.0,7.0,7.0,1.0,7.0,7.0,1.0
2000-11-08,-1.5672412,1.9090909,21.0,4.006364,44.07,11.0,5.0,6.0,0.0,5.0,6.0,0.0
