Date,Open,High,Low,Close,Volume,Adj Close
2011-11-01,11951.530273,11951.759766,11630.030273,11657.959961,218290000,11657.959961
2011-10-31,12229.219727,12229.290039,11954.410156,11955.009766,185790000,11955.009766
2011-10-28,12207.339844,12251.919922,12164.240234,12231.110352,163620000,12231.110352
2011-10-27,11872.070312,12284.30957,11872.070312,12208.549805,251640000,12208.549805
2011-10-26,11707.759766,11891.209961,11694.360352,11869.040039,183730000,11869.040039
2011-10-25,11912.629883,11912.860352,11682.519531,11706.620117,161450000,11706.620117
2011-10-24,11807.959961,11940.75,11805.769531,11913.620117,161870000,11913.620117
2011-10-21,11543.219727,11812.459961,11542.839844,11808.790039,264000000,11808.790039
2011-10-20,11502.129883,11581.25,11391.139648,11541.780273,166100000,11541.780273
2011-10-19,11577.540039,11633.700195,11469.169922,11504.620117,169580000,11504.620117
2011-10-18,11396.169922,11652.740234,11296.120117,11577.049805,201410000,11577.049805
2011-10-17,11643.349609,11643.349609,11378.349609,11397.0,140360000,11397.0
2011-10-14,11478.969727,11646.830078,11478.660156,11644.490234,133570000,11644.490234
2011-10-13,11518.089844,11518.089844,11377.820312,11478.129883,143990000,11478.129883
2011-10-12,11417.360352,11625.299805,11417.280273,11518.849609,188130000,11518.849609
2011-10-11,11432.799805,11447.860352,11365.669922,11416.299805,133360000,11416.299805
2011-10-10,11104.55957,11433.330078,11104.55957,11433.179688,144270000,11433.179688
2011-10-07,11123.410156,11232.049805,11051.129883,11103.120117,188080000,11103.120117
2011-10-06,10939.870117,11132.599609,10858.669922,11123.330078,190030000,11123.330078
2011-10-05,10800.469727,10950.889648,10738.099609,10939.950195,226440000,10939.950195
2011-10-04,10651.44043,10825.44043,10404.490234,10808.709961,267440000,10808.709961
2011-10-03,10912.099609,10979.19043,10653.339844,10655.299805,242870000,10655.299805
2011-09-30,11152.320312,11152.389648,10909.519531,10913.379883,213200000,10913.379883
2011-09-29,11012.790039,11271.139648,10965.450195,11153.980469,191340000,11153.980469
2011-09-28,11189.099609,11317.080078,10996.980469,11010.900391,172410000,11010.900391
2011-09-27,11045.230469,11369.299805,11045.230469,11190.69043,212700000,11190.69043
2011-09-26,10771.780273,11057.490234,10771.780273,11043.860352,225620000,11043.860352
2011-09-23,10732.769531,10808.490234,10638.730469,10771.480469,223140000,10771.480469
2011-09-22,11121.889648,11122.120117,10597.139648,10733.830078,306170000,10733.830078
2011-09-21,11408.580078,11447.860352,11117.280273,11124.839844,221860000,11124.839844
2011-09-20,11401.469727,11550.219727,11373.919922,11408.660156,157060000,11408.660156
2011-09-19,11506.820312,11506.820312,11255.25,11401.009766,157580000,11401.009766
2011-09-16,11433.709961,11532.469727,11407.410156,11509.089844,425900000,11509.089844
2011-09-15,11247.719727,11433.400391,11247.490234,11433.179688,172080000,11433.179688
2011-09-14,11106.830078,11386.780273,10993.839844,11246.730469,192600000,11246.730469
2011-09-13,11054.990234,11140.849609,10987.179688,11105.849609,189980000,11105.849609
2011-09-12,10990.009766,11062.030273,10824.759766,11061.120117,197160000,11061.120117
2011-09-09,11294.599609,11294.830078,10935.639648,10992.129883,228170000,10992.129883
2011-09-08,11414.860352,11477.299805,11283.740234,11295.80957,173040000,11295.80957
2011-09-07,11137.629883,11414.860352,11137.629883,11414.860352,166320000,11414.860352
2011-09-06,11237.30957,11237.459961,10932.530273,11139.299805,217420000,11139.299805
2011-09-02,11492.05957,11492.139648,11211.349609,11240.259766,174660000,11240.259766
2011-09-01,11613.299805,11716.839844,11488.459961,11493.570312,178110000,11493.570312
2011-08-31,11560.480469,11712.599609,11528.080078,11613.530273,229740000,11613.530273
2011-08-30,11532.129883,11630.070312,11429.389648,11559.950195,182090000,11559.950195
2011-08-29,11286.650391,11541.780273,11286.580078,11539.25,177540000,11539.25
2011-08-26,11149.820312,11326.429688,10929.200195,11284.540039,244410000,11284.540039
2011-08-25,11321.019531,11406.389648,11106.759766,11149.820312,255050000,11149.820312
2011-08-24,11175.780273,11331.570312,11113.040039,11320.709961,227380000,11320.709961
2011-08-23,10854.580078,11176.839844,10854.429688,11176.759766,244130000,11176.759766
2011-08-22,10820.370117,11020.549805,10820.370117,10854.650391,226720000,10854.650391
2011-08-19,10989.75,11086.400391,10801.410156,10817.650391,336370000,10817.650391
2011-08-18,11406.269531,11406.5,10881.599609,10990.580078,308520000,10990.580078
2011-08-17,11392.009766,11529.669922,11322.299805,11410.209961,171280000,11410.209961
2011-08-16,11480.480469,11488.009766,11292.629883,11405.929688,187800000,11405.929688
2011-08-15,11269.849609,11484.599609,11269.849609,11482.900391,188120000,11482.900391
2011-08-12,11143.459961,11346.669922,11142.179688,11269.019531,228030000,11269.019531
2011-08-11,10729.849609,11278.900391,10729.849609,11143.30957,393190000,11143.30957
2011-08-10,11228.0,11228.0,10686.490234,10719.94043,396300000,10719.94043
2011-08-09,10810.910156,11244.009766,10604.070312,11239.769531,431410000,11239.769531
2011-08-08,11433.929688,11434.089844,10809.849609,10809.849609,479980000,10809.849609
2011-08-05,11383.980469,11555.410156,11139.0,11444.610352,406310000,11444.610352
2011-08-04,11893.860352,11893.94043,11372.139648,11383.679688,300760000,11383.679688
2011-08-03,11863.740234,11904.910156,11700.339844,11896.44043,198220000,11896.44043
2011-08-02,12129.769531,12130.299805,11865.55957,11866.620117,207060000,11866.620117
2011-08-01,12144.219727,12282.419922,11998.080078,12132.490234,182820000,12132.490234
2011-07-29,12239.360352,12243.070312,12083.450195,12143.240234,230910000,12143.240234
2011-07-28,12301.719727,12384.900391,12226.830078,12240.110352,148710000,12240.110352
2011-07-27,12498.419922,12498.650391,12289.69043,12302.549805,182770000,12302.549805
2011-07-26,12592.120117,12593.400391,12489.040039,12501.299805,145140000,12501.299805
2011-07-25,12679.719727,12679.950195,12536.19043,12592.799805,128760000,12592.799805
2011-07-22,12724.709961,12740.870117,12644.19043,12681.160156,136760000,12681.160156
2011-07-21,12567.070312,12751.429688,12566.610352,12724.410156,188410000,12724.410156
2011-07-20,12583.679688,12603.509766,12546.55957,12571.910156,140340000,12571.910156
2011-07-19,12386.030273,12607.55957,12385.959961,12587.419922,167550000,12587.419922
2011-07-18,12475.110352,12475.259766,12296.230469,12385.160156,148950000,12385.160156
2011-07-15,12437.120117,12504.820312,12406.089844,12479.730469,215420000,12479.730469
2011-07-14,12491.530273,12581.980469,12414.410156,12437.120117,140810000,12437.120117
2011-07-13,12447.330078,12611.040039,12447.330078,12491.610352,139970000,12491.610352
2011-07-12,12505.540039,12570.580078,12446.879883,12446.879883,162640000,12446.879883
2011-07-11,12655.620117,12655.839844,12470.299805,12505.759766,133250000,12505.759766
2011-07-08,12717.900391,12717.900391,12567.410156,12657.200195,131150000,12657.200195
2011-07-07,12627.230469,12753.889648,12627.230469,12719.490234,153740000,12719.490234
2011-07-06,12562.469727,12643.240234,12539.209961,12626.019531,132330000,12626.019531
2011-07-05,12569.870117,12601.799805,12540.580078,12569.870117,123000000,12569.870117
2011-07-01,12414.339844,12596.129883,12404.080078,12582.769531,141870000,12582.769531
2011-06-30,12262.25,12427.089844,12262.099609,12414.339844,179980000,12414.339844
2011-06-29,12187.629883,12284.389648,12175.860352,12261.419922,158720000,12261.419922
2011-06-28,12043.55957,12190.429688,12042.280273,12188.69043,135050000,12188.69043
2011-06-27,11934.660156,12098.80957,11934.049805,12043.55957,177920000,12043.55957
2011-06-24,12049.240234,12057.19043,11925.419922,11934.580078,279660000,11934.580078
2011-06-23,12108.349609,12108.730469,11874.94043,12050.0,206760000,12050.0
2011-06-22,12189.709961,12207.990234,12105.849609,12109.669922,125330000,12109.669922
2011-06-21,12081.330078,12217.330078,12081.179688,12190.009766,147570000,12190.009766
2011-06-20,12004.280273,12099.870117,11971.290039,12080.379883,127250000,12080.379883
2011-06-17,11962.660156,12072.889648,11962.509766,12004.360352,342010000,12004.360352
2011-06-16,11896.129883,11990.019531,11875.769531,11961.519531,189500000,11961.519531
2011-06-15,12075.120117,12075.200195,11862.530273,11897.269531,182500000,11897.269531
2011-06-14,11951.379883,12120.799805,11951.379883,12076.110352,159620000,12076.110352
2011-06-13,11945.330078,12011.660156,11917.780273,11952.969727,153370000,11952.969727
2011-06-10,12124.169922,12124.849609,11937.419922,11951.910156,178310000,11951.910156
2011-06-09,12049.469727,12183.120117,12049.089844,12124.360352,149700000,12124.360352
2011-06-08,12066.269531,12098.360352,12024.259766,12048.94043,156870000,12048.94043
2011-06-07,12090.179688,12178.889648,12066.610352,12070.80957,162610000,12070.80957
2011-06-06,12151.19043,12151.490234,12070.660156,12089.959961,166600000,12089.959961
2011-06-03,12247.799805,12247.870117,12104.030273,12151.259766,157740000,12151.259766
2011-06-02,12289.610352,12306.709961,12190.540039,12248.549805,156370000,12248.549805
2011-06-01,12569.410156,12569.490234,12282.419922,12290.139648,183020000,12290.139648
2011-05-31,12443.400391,12574.290039,12443.400391,12569.790039,208290000,12569.790039
2011-05-27,12398.05957,12483.80957,12397.69043,12441.580078,126030000,12441.580078
2011-05-26,12391.629883,12441.580078,12317.919922,12402.759766,149070000,12402.759766
2011-05-25,12355.450195,12440.030273,12309.519531,12394.660156,145750000,12394.660156
2011-05-24,12381.570312,12422.549805,12350.040039,12356.209961,145920000,12356.209961
2011-05-23,12511.360352,12511.360352,12331.769531,12381.259766,150720000,12381.259766
2011-05-20,12604.719727,12604.830078,12485.860352,12512.040039,174980000,12512.040039
2011-05-19,12561.459961,12633.589844,12533.459961,12605.320312,158470000,12605.320312
2011-05-18,12471.780273,12571.150391,12443.099609,12560.179688,175120000,12560.179688
2011-05-17,12541.330078,12541.330078,12378.839844,12479.580078,192830000,12479.580078
2011-05-16,12594.769531,12642.900391,12530.80957,12548.370117,192310000,12548.370117
2011-05-13,12695.650391,12714.5,12543.19043,12595.75,169940000,12595.75
2011-05-12,12629.959961,12718.580078,12537.169922,12695.919922,216510000,12695.919922
2011-05-11,12745.870117,12748.209961,12577.209961,12630.030273,200680000,12630.030273
2011-05-10,12685.129883,12781.05957,12681.650391,12760.360352,156000000,12760.360352
2011-05-09,12637.830078,12722.070312,12620.200195,12684.679688,133940000,12684.679688
2011-05-06,12580.759766,12759.230469,12579.929688,12638.740234,168320000,12638.740234
2011-05-05,12723.650391,12724.55957,12521.280273,12584.169922,176950000,12584.169922
2011-05-04,12806.290039,12806.679688,12673.019531,12723.580078,193720000,12723.580078
2011-05-03,12806.379883,12840.660156,12749.990234,12807.509766,191510000,12807.509766
2011-05-02,12810.160156,12876.0,12784.620117,12807.360352,150960000,12807.360352
2011-04-29,12763.459961,12832.830078,12751.129883,12810.540039,378620000,12810.540039
2011-04-28,12689.900391,12776.139648,12674.540039,12763.30957,148760000,12763.30957
2011-04-27,12592.230469,12708.370117,12588.330078,12690.959961,160550000,12690.959961
2011-04-26,12480.860352,12613.160156,12478.139648,12595.370117,183980000,12595.370117
2011-04-25,12505.990234,12506.219727,12446.049805,12479.879883,128660000,12479.879883
2011-04-21,12453.620117,12506.05957,12447.55957,12505.990234,166630000,12505.990234
2011-04-20,12266.75,12475.530273,12263.580078,12453.540039,203900000,12453.540039
2011-04-19,12201.44043,12275.339844,12200.299805,12266.75,149870000,12266.75
2011-04-18,12339.709961,12339.790039,12093.889648,12201.589844,190220000,12201.589844
2011-04-15,12285.450195,12369.269531,12272.580078,12341.830078,234710000,12341.830078
2011-04-14,12270.240234,12305.580078,12163.860352,12285.150391,140670000,12285.150391
2011-04-13,12263.650391,12335.099609,12224.450195,12270.990234,118950000,12270.990234
2011-04-12,12381.19043,12381.19043,12233.0,12263.580078,137260000,12263.580078
2011-04-11,12380.429688,12444.0,12352.879883,12381.110352,109950000,12381.110352
2011-04-08,12409.870117,12450.360352,12320.719727,12380.049805,122820000,12380.049805
2011-04-07,12426.450195,12440.55957,12328.360352,12409.490234,158590000,12409.490234
2011-04-06,12386.660156,12450.929688,12386.660156,12426.75,182350000,12426.75
2011-04-05,12402.080078,12438.139648,12353.339844,12393.900391,142340000,12393.900391
2011-04-04,12374.599609,12407.410156,12369.150391,12400.030273,114660000,12400.030273
